id,sku,primary_barcode,brand_name,generic_name,strength,form,form_custom,manufacturer,therapeutic_category,purchase_unit,base_unit,units_per_purchase,prescription_required,controlled_schedule,tax_code_value,reorder_level,reorder_quantity,reorder_unit,is_active,created_at,updated_at,deleted_at
99,SOMG-GEL,08002660023063,Somogel Gel 20gm,Lidocaine + Cetylpyridinium Chloride,,GEL,,Abbott Laboratories (Pakistan) Ltd,,BOX,TUBE,1,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-05-22 14:02:34.453605+00,2026-06-01 15:49:37.418859+00,
305,SPA4-AMP,,Spasmonil 40mg Injection (IM/IV),Drotaverine HCl 40mg Injection (IM/IV),,INJECTION_AMPOULE,,Murfy Pharmaceutical PVT Ltd,,BOX,INJECTION,25,f,NONE,EXEMPT,10,0,PURCHASE,t,2026-05-31 11:52:15.026068+00,2026-05-31 11:52:15.026068+00,
133,SPIT-TAB,08964000345993,Spiromide Tablets,Spironolactone + Furosemide,,TABLET,,The Searle Company Limited,,BOX,TABLET,20,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-23 06:22:12.849397+00,2026-05-23 06:22:12.849397+00,
132,SPI4-TAB,08964000345986,Spiromide-40 Tablets,Spironolactone + Furosemide,,TABLET,,The Searle Company Limited,,BOX,TABLET,30,f,NONE,EXEMPT,30,0,PURCHASE,t,2026-05-23 06:20:15.541273+00,2026-05-23 06:20:15.541273+00,
362,SUND20000-INJ,08964000615140,Sunny D STAT,Vitamin D3,200000 IU,INJECTION,,Scotmann Pharmaceuticals,,BOX,INJECTION,1,f,NONE,EXEMPT,1,0,PURCHASE,t,2026-06-01 15:12:50.074229+00,2026-06-01 15:12:50.074229+00,
118,SURZ-TAB,08002660023131,Surbex Z,Zinc + Vitamin E + Vitamin C + Folic Acid + B-Complex,,TABLET,,Abbott Laboratories (Pakistan) Ltd,,BOX,TABLET,30,f,NONE,EXEMPT,60,0,PURCHASE,t,2026-05-23 05:38:25.581084+00,2026-05-23 05:38:25.581084+00,
349,SURG-OTH,,Surgical Gauze,Surgical Gauze,,OTHER,,,,BOX,Surgical Gauze,1,f,NONE,EXEMPT,5,0,PURCHASE,t,2026-05-31 14:01:35.2643+00,2026-05-31 14:01:35.2643+00,
412,SYN5-TAB,08964001281528,Synflex 550mg,Naproxen Sodium,,TABLET,,Martin Dow Marker Ltd,,BOX,TABLET,30,f,NONE,EXEMPT,10,0,PURCHASE,t,2026-06-01 23:40:17.217432+00,2026-06-01 23:40:17.217432+00,
413,SYNM-TAB,08964001282990,Synflex-M 85mg+500mg,Sumatriptan+Naproxen Sodium,,TABLET,,Martin Dow Marker Ltd,,BOX,TABLET,2,f,NONE,EXEMPT,1,0,PURCHASE,t,2026-06-01 23:41:45.518618+00,2026-06-01 23:41:45.518618+00,
160,TAGI25-TAB,08961101691059,Tagip,Sitagliptin 25mg,25mg,TABLET,,Highnoon Laboratories Ltd,,BOX,TABLET,13,f,NONE,EXEMPT,28,0,PURCHASE,t,2026-05-23 10:07:01.940778+00,2026-05-23 10:07:01.940778+00,
